"namespace","namespace:Term","Term","Definition","Context","Comment",
"bdqffdq","bdqffdq:MeasurementPolicy","MeasurementPolicy","A Data Quality needs level concept that describes how some bdqffdq:contextualizedDimension relates to a bdqffdq:UseCase. This relationship defines which bdqffdq:Measures are supported by a given bdqffdq:UseCase.","FFU Framework: Class","Veiga et al (2017).",
"bdqffdq","bdqffdq:measurementProperties","measurementProperties","Sub properties of bdqffdq:ObjectProperties that apply to measurement concepts such as bdqffdq:MeasurementPolicy (DQ needs), bdqffdq:MeasurementMethod (DQ solutions) and bdqffdq:Measure (DQ reports).","FFU Framework: Object Property","Veiga et al. (2017).",
"bdqffdq","bdqffdq:MeasurementReport","MeasurementReport","A Data Quality report level concept that describes the results of a run of a test that performs a measurement according to some data quality dimension.","FFU Framework: Class","Veiga et al. (2017).",
"bdqffdq","bdqffdq:Mechanism","Mechanism","The FFDQ concept of bdqffdq:Mechanism describes the entity that performs an assertion test (code, external service, actor, etc.). Tied to a bdqffdq:Specification via the concept of a bdqffdq:Implementation.","FFU Framework: Class","Veiga et al (2017).",
"bdqffdq","bdqffdq:MultiRecord","MultiRecord","A data set composed of one or more bdqffdq:SingleRecords.","FFU Framework: namedIndividual","Veiga et al. (2017).",
"bdqffdq","bdqffdq:Parameter","Parameter","A property of a bdqffdq:Specification that can provide a value that changes the behavior of a test.  Parameters allow users to change the behavior of a test to fit their specific data quality need while remaining within the scope of the test. A parameter provides either 1) a link to a bdq:sourceAuthority to find matching values, or 2) a value used to define limits for the test.  Each parameter is given a bdq:defaultValue which is to be used if the parameter is not specified.","FFU Framework: Data Property","property of  bdq:Specification",
"bdqffdq","bdqffdq:Profile","Profile","a Data Quality needs level concept describing the bdqffdq:UseCases that make up some data quality operation such as the behavior of a single actor or workflow producing the relevant bdqffdq:Assertions.","FFU Framework: Class","Veiga et al. (2017).",
"bdqffdq","bdqffdq:ResourceType","ResourceType","In FFDQ the concept of bdqffdq:ResourceType has instances for bdqffdq:SingleRecord or bdqffdq:MultiRecord.","FFU Framework: Class","Veiga et al. (2017).",
"bdqffdq","bdqffdq:Result","Result","The report bdqffdq:Result concept in FFDQ is represented as a value or a bdqffdq:ResultStatus for bdqffdq:Measures, just a bdqffdq:ResultStatus for bdqffdq:Validations and a bdqffdq:ResultStatus as well as values for changes proposed by bdqffdq:Amendments.","FFU Framework: Class","Veiga et al. (2017).",
"bdqffdq","bdqffdq:ResultStatus","ResultStatus","Depending on the assertion type would have values of bdq:COMPLIANT or bdq:NOT_COMPLIANT for a bdqffdq:Validation, bdq:COMPLETE or bdq:NOT_COMPLETE for a bdqffdq:Measure, bdq:AMENDED, bdq:FILLED_IN, bdq:TRANSPOSED, bdq:NOT_AMENDED for a bdqffdq:Amendment and bdq:IS_ISSUE, bdq:POTENTIAL_ISSUE or bdq:NOT_ISSUE for a bdqffdq:Issue","FFU Framework: Class","Veiga et al. (2017). Note that a separate concept describes the resultstate with values of bdq:INTERNAL_PREREQUISITES_NOT_MET and bdq:EXTERNAL_PREREQUISITES_NOT_MET.",
"bdqffdq","bdqffdq:SingleRecord","SingleRecord","A record from a dataset without dependencies on any other record.","FFU Framework: namedIndividual","Veiga et al. (2017). Note that all the current tests are run on a bdqffdq:SingleRecord, of Darwin Core data, and not designed to be run across a bdqffdq:MultiRecord, except for bdqffdq:MultiRecord bdqffdq:Measures.",
"bdqffdq","bdqffdq:Specification","Specification","A technical description of the performed test upon which a bdqffdq:Implementation could be made.","FFU Framework: Class",,
"bdqffdq","bdqffdq:targetedCriterion","targetedCriterion","The bdffdq:Criterion targeted by some enhancement via the bdqffdq:ImprovementTarget object.","FFU Framework: Object Property","Veiga et al. (2017).",
"bdqffdq","bdqffdq:targetedDimension","targetedDimension","The bdqffdq:Dimension targeted by some enhancement via the bdqffdq:ImprovementTarget object.","FFU Framework: Object Property","Veiga et al. (2017).",
"bdqffdq","bdqffdq:targetedIssue","targetedIssue","The bdqffdq:Issue targeted by some problem via the bdqffdq:ImprovementTarget object.","FFU Framework: Object Property","Veiga et al. (2017).",
"bdqffdq","bdqffdq:UseCase","UseCase","The bdqffdq:UseCase concept in FFDQ describes some data quality control use case. The bdqffdq:Amendment, bdqffdq:Measure and bdqffdq:Validation policies that make up a bdqffdq:UseCase define which bdqffdq:Assertions cover a given bdqffdq:UseCase.","FFU Framework: Class","An example of a bdqffdq:UseCase could be ""Check for internal consistency of dates"", with bdqffdq:Validation policies for checking consistency between atomic date fields and a bdqffdq:Amendment such as ""eventDate filled in from verbatim"". Veiga et al. (2017).",
"bdqffdq","bdqffdq:Validation","Validation","A Data Quality needs level concept that describes a run of a test for validity. The bdqffdq:Validation concept in the Tests consists of a run with a bdq:Response:result of bdq:COMPLIANT or bdq:NOT_COMPLIANT and a bdqffdq:Criterion that describes the conditions for validity that result in a status of bdq:COMPLIANT.","FFU Framework: Class","Veiga et al. (2017).",
"bdqffdq","bdqffdq:ValidationMethod","ValidationMethod","TA Data Quality solutions level concept describing the relationship between a bdqffdq:Specification (technical description of a test) and a bdqffdq:Criterion in the context of a bdqffdq:ResourceType (bdqffdq:SingleRecord or bdqffdq:MultiRecord) and associated bdqffdq:InformationElements.","FFU Framework: Class","Veiga et al. (2017).",
"bdqffdq","bdqffdq:ValidationPolicy","ValidationPolicy","A Data Quality needs level concept that describes how some bdqffdq:contextualizedCriterion relates to a bdqffdq:UseCase. This relationship defines which validations are supported by a given bdqffdq:UseCase.","FFU Framework: Class","Veiga et al. (2017).",
"bdqffdq","bdqffdq:validationProperties","validationProperties","Sub properties of bdqffdq:ObjectProperties that apply to validation concepts such as bdqffdq:ValidationPolicy (DQ needs), bdqfdq:ValidationMethod (DQ solutions) and bdqffdq:Validation (DQ reports).","FFU Framework: Object Property","Veiga et al. (2017).",
"bdqffdq","bdqffdq:ValidationReport","ValidationReport","A Data Quality report level concept that reports the results of a run of a bdqffdq:Validation test on some data.","FFU Framework: Class","Veiga et al. (2017).",
