"#","GUID","DateLastUpdated","Label","prefLabel","IE Class","InformationElement:ActedUpon","InformationElement:Consulted","Parameters","Specification","AuthoritiesDefaults","Description","Criterion Label","Type","Resource Type","Dimension","Criterion","Enhancement","Examples","Source","References","Example Implementations (Mechanisms)","Link to Specification Source Code","Notes","IssueState","IssueLabels","UseCases"
"297","a07d7147-2db8-48ce-81b8-e47595ad5f17","2024-09-27","MULTIRECORD_MEASURE_QA_FAMILY_FOUND","Measurement over MultiRecord for QualityAssurance of Validation dwc:family Found","dwc:Taxon","bdq:VALIDATION_FAMILY_FOUND.Response","","","COMPLETE if every VALIDATION_FAMILY_FOUND in the MultiRecord has Response.result=COMPLIANT or Response.status=INTERNAL_PREREQUISITES_NOT_MET, otherwise NOT_COMPLETE.","bdq:sourceAuthority default = ""GBIF Backbone Taxonomy"" {[https://doi.org/10.15468/39omei]} {API endpoint [https://api.gbif.org/v1/species?datasetKey=d7dddbf4-2cf0-4f39-9b2a-bb099caae36c&name=]}","Measure if all VALIDATION_FAMILY_FOUND in a record set are COMPLIANT or INTERNAL_PREREQUISITES_NOT_MET (indicating some empty value)","Conformance: found","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation NAME Test VOCABULARY Conformance Parameterized CORE","bdq:Record-Management, bdq:Taxon-Management"
"296","97928242-11a9-4ab0-9dd7-3f0465834824","2024-09-27","MULTIRECORD_MEASURE_COUNT_COMPLIANT_FAMILY_FOUND","Measurement over MultiRecord Counting Compliance of Validation dwc:family Found","dwc:Taxon","bdq:VALIDATION_FAMILY_FOUND.Response","","","Count the number of VALIDATION_FAMILY_FOUND in the MultiRecord that have Response.result=COMPLIANT.","bdq:sourceAuthority default = ""GBIF Backbone Taxonomy"" {[https://doi.org/10.15468/39omei]} {API endpoint [https://api.gbif.org/v1/species?datasetKey=d7dddbf4-2cf0-4f39-9b2a-bb099caae36c&name=]}","Count the number of VALIDATION_FAMILY_FOUND in a record set that are COMPLIANT","Conformance: found","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation NAME Test VOCABULARY Conformance Parameterized CORE","bdq:Record-Management, bdq:Taxon-Management"
"295","6f7a9b82-7d34-4111-a2a6-9efe5221fa44","2024-09-27","MULTIRECORD_MEASURE_QA_DECIMALLONGITUDE_INRANGE","Measurement over MultiRecord for QualityAssurance of Validation dwc:decimalLongitude In Range","dcterms:Location","bdq:VALIDATION_DECIMALLONGITUDE_INRANGE.Response","","","COMPLETE if every VALIDATION_DECIMALLONGITUDE_INRANGE in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","","Measure if all VALIDATION_DECIMALLONGITUDE_INRANGE in a record set are COMPLIANT","Conformance: inrange","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation SPACE Test Conformance CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"296","c70c4950-2246-4acc-a59d-81eaa47edf2b","2024-09-27","MULTIRECORD_MEASURE_COUNT_COMPLIANT_DECIMALLONGITUDE_INRANGE","Measurement over MultiRecord Counting Compliance of Validation dwc:decimalLongitude In Range","dcterms:Location","bdq:VALIDATION_DECIMALLONGITUDE_INRANGE.Response","","","Count the number of VALIDATION_DECIMALLONGITUDE_INRANGE in the MultiRecord that have Response.result=COMPLIANT.","","Count the number of VALIDATION_DECIMALLONGITUDE_INRANGE in a record set that are COMPLIANT","Conformance: inrange","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation SPACE Test Conformance CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"295","c23cd67d-1b5c-4e9f-a1ce-8cc6b3e9b365","2024-09-27","MULTIRECORD_MEASURE_QA_EVENTDATE_NOTEMPTY","Measurement over MultiRecord for QualityAssurance of Validation dwc:eventDate Not Empty","dwc:Event","bdq:VALIDATION_EVENTDATE_NOTEMPTY.Response","","","COMPLETE if every VALIDATION_EVENTDATE_NOTEMPTY in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","","Measure if all VALIDATION_EVENTDATE_NOTEMPTY in a record set are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation TIME CODED Test Completeness CORE","bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"296","3f62eaa2-747f-456b-85e6-1a6e74086a18","2024-09-27","MULTIRECORD_MEASURE_COUNT_COMPLIANT_EVENTDATE_NOTEMPTY","Measurement over MultiRecord Counting Compliance of Validation dwc:eventDate Not Empty","dwc:Event","bdq:VALIDATION_EVENTDATE_NOTEMPTY.Response","","","Count the number of VALIDATION_EVENTDATE_NOTEMPTY in the MultiRecord that have Response.result=COMPLIANT.","","Count the number of VALIDATION_EVENTDATE_NOTEMPTY in a record set that are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation TIME CODED Test Completeness CORE","bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"295","d41a731b-2e2b-4442-9217-4c375ae92926","2024-09-27","MULTIRECORD_MEASURE_QA_EVENTDATE_INRANGE","Measurement over MultiRecord for QualityAssurance of Validation dwc:eventDate In Range","dwc:Event","bdq:VALIDATION_EVENTDATE_INRANGE.Response","","","COMPLETE if every VALIDATION_EVENTDATE_INRANGE in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","bdq:earliestValidDate default =""1582-11-15"",bdq:latestValidDate default = current year","Measure if all VALIDATION_EVENTDATE_INRANGE in a record set are COMPLIANT","Conformance: inrange","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation TIME CODED Test Conformance Parameterized CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"296","c8250600-de61-4047-9d7c-6e06a38c7994","2024-09-27","MULTIRECORD_MEASURE_COUNT_COMPLIANT_EVENTDATE_INRANGE","Measurement over MultiRecord Counting Compliance of Validation dwc:eventDate In Range","dwc:Event","bdq:VALIDATION_EVENTDATE_INRANGE.Response","","","Count the number of VALIDATION_EVENTDATE_INRANGE in the MultiRecord that have Response.result=COMPLIANT.","bdq:earliestValidDate default =""1582-11-15"",bdq:latestValidDate default = current year","Count the number of VALIDATION_EVENTDATE_INRANGE in a record set that are COMPLIANT","Conformance: inrange","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation TIME CODED Test Conformance Parameterized CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"295","acd8d43e-7a2a-4372-b887-fb53a9972dc9","2024-09-27","MULTIRECORD_MEASURE_QA_LICENSE_STANDARD","Measurement over MultiRecord for QualityAssurance of Validation dcterms:license Standard","Record-level","bdq:VALIDATION_LICENSE_STANDARD.Response","","","COMPLETE if every VALIDATION_LICENSE_STANDARD in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","bdq:sourceAuthority default = ""Creative Commons 4.0 Licenses or CC0 {[https://creativecommons.org/]} { Regular Expression [((http(s){0,1}://creativecommons.org/licenses/(by\","Measure if all VALIDATION_LICENSE_STANDARD in a record set are COMPLIANT","Conformance: standard","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation OTHER Test VOCABULARY Conformance Parameterized CORE","bdq:Record-Management"
"296","9d5be694-f5da-465d-8c7e-27e6dac69f9f","2024-09-27","MULTIRECORD_MEASURE_COUNT_COMPLIANT_LICENSE_STANDARD","Measurement over MultiRecord Counting Compliance of Validation dcterms:license Standard","Record-level","bdq:VALIDATION_LICENSE_STANDARD.Response","","","Count the number of VALIDATION_LICENSE_STANDARD in the MultiRecord that have Response.result=COMPLIANT.","bdq:sourceAuthority default = ""Creative Commons 4.0 Licenses or CC0 {[https://creativecommons.org/]} { Regular Expression [((http(s){0,1}://creativecommons.org/licenses/(by\","Count the number of VALIDATION_LICENSE_STANDARD in a record set that are COMPLIANT","Conformance: standard","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation OTHER Test VOCABULARY Conformance Parameterized CORE","bdq:Record-Management"
"297","1ba18c8b-66a6-47d9-a709-404439332dba","2024-09-27","MULTIRECORD_MEASURE_QA_MINELEVATION_INRANGE","Measurement over MultiRecord for QualityAssurance of Validation dwc:minimumElevationInMeters In Range","dcterms:Location","bdq:VALIDATION_MINELEVATION_INRANGE.Response","","","COMPLETE if every VALIDATION_MINELEVATION_INRANGE in the MultiRecord has Response.result=COMPLIANT or Response.status=INTERNAL_PREREQUISITES_NOT_MET, otherwise NOT_COMPLETE.","bdq:minimumValidElevationInMeters default = ""-430"",bdq:maximumValidElevationInMeters default = ""8850""","Measure if all VALIDATION_MINELEVATION_INRANGE in a record set are COMPLIANT or INTERNAL_PREREQUISITES_NOT_MET (indicating some empty value)","Conformance: inrange","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation SPACE Test Conformance Parameterized CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"296","071267a0-d993-4961-a3f7-d8210810d167","2024-09-27","MULTIRECORD_MEASURE_COUNT_COMPLIANT_MINELEVATION_INRANGE","Measurement over MultiRecord Counting Compliance of Validation dwc:minimumElevationInMeters In Range","dcterms:Location","bdq:VALIDATION_MINELEVATION_INRANGE.Response","","","Count the number of VALIDATION_MINELEVATION_INRANGE in the MultiRecord that have Response.result=COMPLIANT.","bdq:minimumValidElevationInMeters default = ""-430"",bdq:maximumValidElevationInMeters default = ""8850""","Count the number of VALIDATION_MINELEVATION_INRANGE in a record set that are COMPLIANT","Conformance: inrange","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation SPACE Test Conformance Parameterized CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"295","3b2e4791-1a5a-4087-9e8d-09c67cf8c816","2024-09-27","MULTIRECORD_MEASURE_QA_LOCATION_NOTEMPTY","Measurement over MultiRecord for QualityAssurance of Validation dcterms:Location Not Empty","dcterms:Location","bdq:VALIDATION_LOCATION_NOTEMPTY.Response","","","COMPLETE if every VALIDATION_LOCATION_NOTEMPTY in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","","Measure if all VALIDATION_LOCATION_NOTEMPTY in a record set are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation SPACE Test Completeness CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"296","bac852b5-1ba6-427b-aa8e-02018e99279c","2024-09-27","MULTIRECORD_MEASURE_COUNT_COMPLIANT_LOCATION_NOTEMPTY","Measurement over MultiRecord Counting Compliance of Validation dcterms:Location Not Empty","dcterms:Location","bdq:VALIDATION_LOCATION_NOTEMPTY.Response","","","Count the number of VALIDATION_LOCATION_NOTEMPTY in the MultiRecord that have Response.result=COMPLIANT.","","Count the number of VALIDATION_LOCATION_NOTEMPTY in a record set that are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation SPACE Test Completeness CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"295","9c8df974-8fba-4537-8c67-31466787f732","2024-09-27","MULTIRECORD_MEASURE_QA_COUNTRY_NOTEMPTY","Measurement over MultiRecord for QualityAssurance of Validation dwc:country Not Empty","dcterms:Location","bdq:VALIDATION_COUNTRY_NOTEMPTY.Response","","","COMPLETE if every VALIDATION_COUNTRY_NOTEMPTY in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","","Measure if all VALIDATION_COUNTRY_NOTEMPTY in a record set are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation SPACE CODED Test Completeness CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"296","6887c881-dc52-409b-8979-9c2f05e55569","2024-09-27","MULTIRECORD_MEASURE_COUNT_COMPLIANT_COUNTRY_NOTEMPTY","Measurement over MultiRecord Counting Compliance of Validation dwc:country Not Empty","dcterms:Location","bdq:VALIDATION_COUNTRY_NOTEMPTY.Response","","","Count the number of VALIDATION_COUNTRY_NOTEMPTY in the MultiRecord that have Response.result=COMPLIANT.","","Count the number of VALIDATION_COUNTRY_NOTEMPTY in a record set that are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation SPACE CODED Test Completeness CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"295","a8aee02c-cf7c-4104-a601-d8afc4f9cbe2","2024-09-27","MULTIRECORD_MEASURE_QA_SCIENTIFICNAME_FOUND","Measurement over MultiRecord for QualityAssurance of Validation dwc:scientificName Found","dwc:Taxon","bdq:VALIDATION_SCIENTIFICNAME_FOUND.Response","","","COMPLETE if every VALIDATION_SCIENTIFICNAME_FOUND in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","bdq:sourceAuthority default = ""GBIF Backbone Taxonomy"" {[https://doi.org/10.15468/39omei]} {API endpoint [https://api.gbif.org/v1/species?datasetKey=d7dddbf4-2cf0-4f39-9b2a-bb099caae36c&name=]}","Measure if all VALIDATION_SCIENTIFICNAME_FOUND in a record set are COMPLIANT","Conformance: found","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation NAME Test VOCABULARY Conformance Parameterized CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"296","4e70b0e4-3fd2-4899-802c-439671374eeb","2024-09-27","MULTIRECORD_MEASURE_COUNT_COMPLIANT_SCIENTIFICNAME_FOUND","Measurement over MultiRecord Counting Compliance of Validation dwc:scientificName Found","dwc:Taxon","bdq:VALIDATION_SCIENTIFICNAME_FOUND.Response","","","Count the number of VALIDATION_SCIENTIFICNAME_FOUND in the MultiRecord that have Response.result=COMPLIANT.","bdq:sourceAuthority default = ""GBIF Backbone Taxonomy"" {[https://doi.org/10.15468/39omei]} {API endpoint [https://api.gbif.org/v1/species?datasetKey=d7dddbf4-2cf0-4f39-9b2a-bb099caae36c&name=]}","Count the number of VALIDATION_SCIENTIFICNAME_FOUND in a record set that are COMPLIANT","Conformance: found","Measure","MultiRecord","Conformance","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation NAME Test VOCABULARY Conformance Parameterized CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"295","0028ef9a-6553-467b-a344-90327ed2babf","2024-09-27","MULTIRECORD_MEASURE_QA_OCCURRENCEID_NOTEMPTY","Measurement over MultiRecord for QualityAssurance of Validation dwc:occurrenceID Not Empty","dwc:Occurrence","bdq:VALIDATION_OCCURRENCEID_NOTEMPTY.Response","","","COMPLETE if every VALIDATION_OCCURRENCEID_NOTEMPTY in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","","Measure if all VALIDATION_OCCURRENCEID_NOTEMPTY in a record set are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation OTHER Test Completeness CORE","bdq:Record-Management"
"296","0c9a139e-5d23-44de-a495-14ec08c61a1c","2024-09-27","MULTIRECORD_MEASURE_COUNT_COMPLIANT_OCCURRENCEID_NOTEMPTY","Measurement over MultiRecord Counting Compliance of Validation dwc:occurrenceID Not Empty","dwc:Occurrence","bdq:VALIDATION_OCCURRENCEID_NOTEMPTY.Response","","","Count the number of VALIDATION_OCCURRENCEID_NOTEMPTY in the MultiRecord that have Response.result=COMPLIANT.","","Count the number of VALIDATION_OCCURRENCEID_NOTEMPTY in a record set that are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation OTHER Test Completeness CORE","bdq:Record-Management"
"295","a8fef8a8-e7c7-4a2d-adaf-7da99c896c93","2024-09-27","MULTIRECORD_MEASURE_QA_YEAR_NOTEMPTY","Measurement over MultiRecord for QualityAssurance of Validation dwc:year Not Empty","dwc:Event","bdq:VALIDATION_YEAR_NOTEMPTY.Response","","","COMPLETE if every VALIDATION_YEAR_NOTEMPTY in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","","Measure if all VALIDATION_YEAR_NOTEMPTY in a record set are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation TIME CODED Test Completeness CORE","bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"296","687d3ad1-93a3-4a1f-b69f-da5a1eb761a5","2024-09-27","MULTIRECORD_MEASURE_COUNT_COMPLIANT_YEAR_NOTEMPTY","Measurement over MultiRecord Counting Compliance of Validation dwc:year Not Empty","dwc:Event","bdq:VALIDATION_YEAR_NOTEMPTY.Response","","","Count the number of VALIDATION_YEAR_NOTEMPTY in the MultiRecord that have Response.result=COMPLIANT.","","Count the number of VALIDATION_YEAR_NOTEMPTY in a record set that are COMPLIANT","Completeness: notempty","Measure","MultiRecord","Completeness","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation TIME CODED Test Completeness CORE","bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"295","0970ea4a-ac74-4074-a4b1-f702dc100662","2024-09-27","MULTIRECORD_MEASURE_QA_COORDINATESCOUNTRYCODE_CONSISTENT","Measurement over MultiRecord for QualityAssurance of Validation Coordinates dwc:countryCode Consistent","dcterms:Location","bdq:VALIDATION_COORDINATESCOUNTRYCODE_CONSISTENT.Response","","","COMPLETE if every VALIDATION_COORDINATESCOUNTRYCODE_CONSISTENT in the MultiRecord has Response.result=COMPLIANT; otherwise NOT_COMPLETE.","bdq:sourceAuthority default = ""10m-admin-1 boundaries UNION with Exclusive Economic Zones"" {[https://www.naturalearthdata.com/downloads/10m-cultural-vectors/10m-admin-1-states-provinces/] spatial UNION [https://www.marineregions.org/downloads.php#marbound]},bdq:spatialBufferInMeters default = ""3000""","Measure if all VALIDATION_COORDINATESCOUNTRYCODE_CONSISTENT in a record set are COMPLIANT","Consistency: consistent","Measure","MultiRecord","Consistency","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Assurance, filter record set until this measure is COMPLETE.","open","TG2 Validation SPACE Test VOCABULARY Consistency ISO/DCMI STANDARD Parameterized CORE","bdq:Spatial-Temporal_Patterns"
"296","572fafe0-5fb3-444a-94de-72ea59a5bdf2","2024-09-27","MULTIRECORD_MEASURE_COUNT_COMPLIANT_COORDINATESCOUNTRYCODE_CONSISTENT","Measurement over MultiRecord Counting Compliance of Validation Coordinates dwc:countryCode Consistent","dcterms:Location","bdq:VALIDATION_COORDINATESCOUNTRYCODE_CONSISTENT.Response","","","Count the number of VALIDATION_COORDINATESCOUNTRYCODE_CONSISTENT in the MultiRecord that have Response.result=COMPLIANT.","bdq:sourceAuthority default = ""10m-admin-1 boundaries UNION with Exclusive Economic Zones"" {[https://www.naturalearthdata.com/downloads/10m-cultural-vectors/10m-admin-1-states-provinces/] spatial UNION [https://www.marineregions.org/downloads.php#marbound]},bdq:spatialBufferInMeters default = ""3000""","Count the number of VALIDATION_COORDINATESCOUNTRYCODE_CONSISTENT in a record set that are COMPLIANT","Consistency: consistent","Measure","MultiRecord","Consistency","","","","TG2","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731","","","For Quality Control, compare the Response.result of this measure with the total number of records to assess work needed on the record set.","open","TG2 Validation SPACE Test VOCABULARY Consistency ISO/DCMI STANDARD Parameterized CORE","bdq:Spatial-Temporal_Patterns"
